1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1
1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
7,0,0,0,0,7,0,8,11,0,11,0,11,0,11,0,0,11,0,8
7,0,0,0,0,7,0,8,12,0,12,0,12,0,12,0,11,12,0,8
7,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,12,0,0,8
7,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,11,0,8
7,11,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,12,0,8
7,12,0,0,0,12,1,14,0,0,0,0,0,0,0,0,0,11,0,8
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8
6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
